파일,No,지표,단위,개선 전(D),개선 후(E),절감량(F),"절감률(G,%)"
기대효과지표_실습본.xlsx,1,회의록 작성 소요,일,3.5,1.2,2.3,65.7
기대효과지표_실습본.xlsx,2,회의록 공유 누락,건/월,4,0.5,3.5,87.5
기대효과지표_실습본.xlsx,3,문서 재작성 요청,건/월,6,1,5,83.3
기대효과지표_실습본.xlsx,4,작성 담당 투입 시간,시간/월,18,7.5,10.5,58.3
기대효과지표_실습본.xlsx,5,양식 준수율,%,62,95,33,53.2
기대효과지표_실습본.xlsx,6,기록 반려,건/월,2,0.5,1.5,75.0
기대효과지표_실습본.xlsx,,연간 환산 투입시간 절감(시간),시간,,,126.0,
기대효과지표_새자료.xlsx,1,자료집 인쇄 대기,일,5,2,3,60.0
기대효과지표_새자료.xlsx,2,배포 누락,건/월,3,0,3,100.0
기대효과지표_새자료.xlsx,3,표지 재작업,건/월,0,0,0,
기대효과지표_새자료.xlsx,4,문의 응답 시간,시간,4,1.5,2.5,62.5
기대효과지표_새자료.xlsx,5,참여 만족 응답 비율,%,70,88,18,25.7
기대효과지표_새자료.xlsx,,연간 환산 응답시간 절감(시간),시간,,,30.0,
