원래파일명,종류,날짜,제안파일명,폴더,확인점
memo_a.md,회의록,2026-05-02,2026-05-02_회의록_자료모임_01.md,회의록,이름 충돌을 구분
memo_b.md,회의록,2026-05-02,2026-05-02_회의록_자료모임_02.md,회의록,이름 충돌을 구분
회의메모_날짜없음.md,회의록,날짜미상,날짜미상_회의록_다음모임.md,회의록,
summary_old.md,보고서,2026-05-03,2026-05-03_보고서_준비현황.md,보고서,
draft_final.md,보고서,2026-05-04,2026-05-04_보고서_점검결과.md,보고서,
report_misc.md,보고서,날짜미상,날짜미상_보고서_추가검토.md,보고서,
list_materials.csv,목록,2026-05-05,2026-05-05_목록_자료목록.csv,목록,
list_items.csv,목록,2026-05-06,2026-05-06_목록_준비물.csv,목록,
list_unknown.csv,목록,날짜미상,날짜미상_목록_배포목록.csv,목록,
notice.md,기타,2026-05-07,2026-05-07_기타_안내.md,기타,
read_later.txt,기타,날짜미상,날짜미상_기타_짧은메모.txt,기타,
draft_note.md,기타,2026-05-08,2026-05-08_기타_표지아이디어.md,기타,
