파일명,원문 위치 설명,날짜,항목,수량,단가,원문 합계,계산 합계,상태,확인 이유
영수증_01.png,품목 표 1행,2026-05-02,노트,2,"3,000",,"6,000",정상,
영수증_01.png,품목 표 2행,2026-05-02,라벨지,1,"4,500",,"4,500",정상,
영수증_01.png,품목 표 3행,2026-05-02,클립,3,800,,"2,400",정상,
영수증_01.png,하단 합계 행,2026-05-02,(합계),,,"12,900","12,900",정상,원문 합계와 항목 합산이 같음
영수증_02.png,품목 표 1행,2026-05-04,도서 A,1,"15,000",,"15,000",정상,
영수증_02.png,품목 표 2행,2026-05-04,도서 B,1,,,,확인 필요,단가와 금액이 번져 읽을 수 없음. 품목명으로 금액을 추측하지 않음
영수증_02.png,품목 표 3행,2026-05-04,포장비,1,"1,000",,"1,000",정상,
영수증_02.png,하단 합계 행,2026-05-04,(합계),,,,,확인 필요,원문 합계도 번져 있어 역산이 불가능함. 0으로 채우지 않음
영수증_03.png,품목 표 1행,2026-05-02,노트,2,"3,000",,"6,000",중복 가능성,
영수증_03.png,품목 표 2행,2026-05-02,라벨지,1,"4,500",,"4,500",중복 가능성,
영수증_03.png,품목 표 3행,2026-05-02,클립,3,800,,"2,400",중복 가능성,
영수증_03.png,하단 합계 행,2026-05-02,(합계),,,"12,900","12,900",중복 가능성,영수증_01과 날짜·금액이 같으나 전표번호가 A-1001 / A-1002로 다름. 임의로 제외하지 않고 표시만 함
