확인 항목,기준값,확인 방법
슬라이드 수,3,보기 → 여러 슬라이드
슬라이드 크기,13.333 x 7.5 인치 (16:9),디자인 → 슬라이드 크기
마스터 수,1,보기 → 슬라이드 마스터
사용 레이아웃(1/2/3장),Title Slide / Title and Content / Title Only,슬라이드 우클릭 → 레이아웃
테마 제목 글꼴,맑은 고딕,디자인 → 글꼴 / 마스터 보기
테마 본문 글꼴,맑은 고딕,디자인 → 글꼴 / 마스터 보기
테마 강조색 1,#101D34,디자인 → 색 → 색 사용자 지정
테마 강조색 2,#2E8FA6,디자인 → 색 → 색 사용자 지정
테마 강조색 3,#C16B1E,디자인 → 색 → 색 사용자 지정
테마 강조색 4,#8064A2,디자인 → 색 → 색 사용자 지정
테마 강조색 5,#4BACC6,디자인 → 색 → 색 사용자 지정
테마 강조색 6,#F79646,디자인 → 색 → 색 사용자 지정
마스터 상단 띠,남색 가로 막대 1개,모든 장 맨 위에 보이는지
마스터 하단 고지,교육용 가상 자료 · 가상 독서모임 예시 · 실제 기관 자료가 아닙니다,모든 장 맨 아래에 보이는지
3장 표 크기,4행 3열,표 클릭 → 레이아웃
